source_batch,scenario,seed,winner,is_allstar,player,model_label,provider,model,architecture,role,faction,team_win,alive_final,messages_spoken,votes_cast,votes_received,role_claims,false_role_claims
batch_allstar,allstar_holy_grail_rotation_0,10200,good,1,Ariel,Mafia Gemma BF16,modal_transformers,Alfaxad/mafia-gemma-4-12B-it,holy_grail,Doctor,good,1,1,2,2,0,0,0
batch_allstar,allstar_holy_grail_rotation_0,10200,good,1,Blake,Mafia Gemma GGUF Q8,modal_gguf,Alfaxad/mafia-gemma-4-12B-it-gguf,holy_grail,Mafia,mafia,0,0,1,1,5,0,0
batch_allstar,allstar_holy_grail_rotation_0,10200,good,1,Casey,GPT-5 medium,openai,gpt-5,holy_grail,Villager,good,1,1,1,2,0,0,0
batch_allstar,allstar_holy_grail_rotation_0,10200,good,1,Devon,GPT-5-mini,openai,gpt-5-mini,holy_grail,Villager,good,1,0,1,1,2,0,0
batch_allstar,allstar_holy_grail_rotation_0,10200,good,1,Emery,Claude Opus 4.8,anthropic,claude-opus-4-8,holy_grail,Mafia,mafia,0,0,1,2,4,0,0
batch_allstar,allstar_holy_grail_rotation_0,10200,good,1,Finley,Claude Sonnet 4.6,anthropic,claude-sonnet-4-6,holy_grail,Detective,good,1,1,1,2,1,1,0
batch_allstar,allstar_holy_grail_rotation_0,10200,good,1,Gray,Gemini 2.5 Pro OSV,osv_gateway,vertex_ai/gemini-2.5-pro,holy_grail,Villager,good,1,1,1,2,0,0,0
batch_allstar,allstar_holy_grail_rotation_1,10201,mafia,1,Ariel,Mafia Gemma GGUF Q8,modal_gguf,Alfaxad/mafia-gemma-4-12B-it-gguf,holy_grail,Villager,good,0,1,2,2,1,0,0
batch_allstar,allstar_holy_grail_rotation_1,10201,mafia,1,Blake,GPT-5 medium,openai,gpt-5,holy_grail,Villager,good,0,0,2,2,2,0,0
batch_allstar,allstar_holy_grail_rotation_1,10201,mafia,1,Casey,GPT-5-mini,openai,gpt-5-mini,holy_grail,Villager,good,0,1,1,2,2,0,0
batch_allstar,allstar_holy_grail_rotation_1,10201,mafia,1,Devon,Claude Opus 4.8,anthropic,claude-opus-4-8,holy_grail,Detective,good,0,0,1,1,2,1,0
batch_allstar,allstar_holy_grail_rotation_1,10201,mafia,1,Emery,Claude Sonnet 4.6,anthropic,claude-sonnet-4-6,holy_grail,Mafia,mafia,1,1,2,2,1,0,0
batch_allstar,allstar_holy_grail_rotation_1,10201,mafia,1,Finley,Gemini 2.5 Pro OSV,osv_gateway,vertex_ai/gemini-2.5-pro,holy_grail,Mafia,mafia,1,1,2,2,1,0,0
batch_allstar,allstar_holy_grail_rotation_1,10201,mafia,1,Gray,Mafia Gemma BF16,modal_transformers,Alfaxad/mafia-gemma-4-12B-it,holy_grail,Doctor,good,0,0,0,1,3,0,0
batch_allstar,allstar_holy_grail_rotation_2,10202,good,1,Ariel,GPT-5 medium,openai,gpt-5,holy_grail,Villager,good,1,1,3,3,0,0,0
batch_allstar,allstar_holy_grail_rotation_2,10202,good,1,Blake,GPT-5-mini,openai,gpt-5-mini,holy_grail,Villager,good,1,0,1,1,2,0,0
batch_allstar,allstar_holy_grail_rotation_2,10202,good,1,Casey,Claude Opus 4.8,anthropic,claude-opus-4-8,holy_grail,Mafia,mafia,0,0,3,3,5,0,0
batch_allstar,allstar_holy_grail_rotation_2,10202,good,1,Devon,Claude Sonnet 4.6,anthropic,claude-sonnet-4-6,holy_grail,Mafia,mafia,0,0,2,2,5,0,0
batch_allstar,allstar_holy_grail_rotation_2,10202,good,1,Emery,Gemini 2.5 Pro OSV,osv_gateway,vertex_ai/gemini-2.5-pro,holy_grail,Detective,good,1,1,2,3,4,1,0
batch_allstar,allstar_holy_grail_rotation_2,10202,good,1,Finley,Mafia Gemma BF16,modal_transformers,Alfaxad/mafia-gemma-4-12B-it,holy_grail,Villager,good,1,1,3,3,1,0,0
batch_allstar,allstar_holy_grail_rotation_2,10202,good,1,Gray,Mafia Gemma GGUF Q8,modal_gguf,Alfaxad/mafia-gemma-4-12B-it-gguf,holy_grail,Doctor,good,1,1,2,3,1,2,0
batch_allstar,allstar_holy_grail_rotation_3,10203,good,1,Ariel,GPT-5-mini,openai,gpt-5-mini,holy_grail,Detective,good,1,1,2,2,3,2,0
batch_allstar,allstar_holy_grail_rotation_3,10203,good,1,Blake,Claude Opus 4.8,anthropic,claude-opus-4-8,holy_grail,Villager,good,1,1,2,2,0,0,0
batch_allstar,allstar_holy_grail_rotation_3,10203,good,1,Casey,Claude Sonnet 4.6,anthropic,claude-sonnet-4-6,holy_grail,Mafia,mafia,0,0,1,2,4,0,0
batch_allstar,allstar_holy_grail_rotation_3,10203,good,1,Devon,Gemini 2.5 Pro OSV,osv_gateway,vertex_ai/gemini-2.5-pro,holy_grail,Villager,good,1,1,1,2,0,0,0
batch_allstar,allstar_holy_grail_rotation_3,10203,good,1,Emery,Mafia Gemma BF16,modal_transformers,Alfaxad/mafia-gemma-4-12B-it,holy_grail,Doctor,good,1,1,1,2,0,1,0
batch_allstar,allstar_holy_grail_rotation_3,10203,good,1,Finley,Mafia Gemma GGUF Q8,modal_gguf,Alfaxad/mafia-gemma-4-12B-it-gguf,holy_grail,Villager,good,1,0,0,0,0,0,0
batch_allstar,allstar_holy_grail_rotation_3,10203,good,1,Gray,GPT-5 medium,openai,gpt-5,holy_grail,Mafia,mafia,0,0,1,1,4,1,1
