scenario,model,architecture,player_model,player_architecture,seed,winner,player,role,faction,provider,alive_final,eliminated_day,killed_night,messages_spoken,votes_cast,votes_received,role_claims,false_role_claims
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9900,good,Ariel,Mafia,mafia,modal_transformers,False,1,,1,1,5,1,1
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9900,good,Blake,Villager,good,modal_transformers,True,,,2,2,0,0,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9900,good,Casey,Doctor,good,modal_transformers,True,,,2,2,0,0,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9900,good,Devon,Detective,good,modal_transformers,True,,,1,2,3,1,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9900,good,Emery,Villager,good,modal_transformers,True,,,2,2,1,0,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9900,good,Finley,Mafia,mafia,modal_transformers,False,2,,2,2,3,0,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9900,good,Gray,Villager,good,modal_transformers,True,,,0,2,1,0,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9901,good,Ariel,Doctor,good,modal_transformers,True,,,4,4,3,2,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9901,good,Blake,Detective,good,modal_transformers,False,2,,2,2,4,2,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9901,good,Casey,Mafia,mafia,modal_transformers,False,3,,1,3,4,0,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9901,good,Devon,Villager,good,modal_transformers,True,,,3,4,2,0,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9901,good,Emery,Villager,good,modal_transformers,True,,,3,4,2,0,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9901,good,Finley,Mafia,mafia,modal_transformers,False,4,,2,4,4,0,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9901,good,Gray,Villager,good,modal_transformers,False,1,,0,1,3,0,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9902,good,Ariel,Villager,good,modal_transformers,True,,,3,3,0,0,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9902,good,Blake,Doctor,good,modal_transformers,False,1,,1,1,2,1,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9902,good,Casey,Mafia,mafia,modal_transformers,False,3,,2,3,3,0,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9902,good,Devon,Villager,good,modal_transformers,True,,,2,3,2,0,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9902,good,Emery,Mafia,mafia,modal_transformers,False,2,,1,2,4,0,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9902,good,Finley,Detective,good,modal_transformers,False,,3,1,2,3,1,0
mafia_gemma_bf16_holy_grail,Mafia Gemma BF16,Holy Grail,Alfaxad/mafia-gemma-4-12B-it,holy_grail,9902,good,Gray,Villager,good,modal_transformers,False,,2,0,1,1,0,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9900,mafia,Ariel,Mafia,mafia,modal_transformers,True,,,1,2,1,0,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9900,mafia,Blake,Villager,good,modal_transformers,False,2,,2,2,5,0,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9900,mafia,Casey,Doctor,good,modal_transformers,True,,,1,2,0,0,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9900,mafia,Devon,Detective,good,modal_transformers,False,,2,1,1,0,0,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9900,mafia,Emery,Villager,good,modal_transformers,True,,,1,2,0,0,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9900,mafia,Finley,Mafia,mafia,modal_transformers,True,,,1,2,0,0,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9900,mafia,Gray,Villager,good,modal_transformers,False,1,,0,1,6,0,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9901,mafia,Ariel,Doctor,good,modal_transformers,False,2,,2,2,6,1,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9901,mafia,Blake,Detective,good,modal_transformers,False,1,,1,1,6,1,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9901,mafia,Casey,Mafia,mafia,modal_transformers,True,,,2,2,1,0,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9901,mafia,Devon,Villager,good,modal_transformers,True,,,1,2,0,0,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9901,mafia,Emery,Villager,good,modal_transformers,True,,,1,2,0,0,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9901,mafia,Finley,Mafia,mafia,modal_transformers,True,,,1,2,0,0,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9901,mafia,Gray,Villager,good,modal_transformers,False,,3,0,2,0,0,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9902,mafia,Ariel,Villager,good,modal_transformers,False,,2,1,1,1,0,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9902,mafia,Blake,Doctor,good,modal_transformers,False,,1,0,0,0,0,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9902,mafia,Casey,Mafia,mafia,modal_transformers,True,,,1,1,0,0,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9902,mafia,Devon,Villager,good,modal_transformers,True,,,1,1,0,0,0
mafia_gemma_bf16_revac,Mafia Gemma BF16,ReVAC,Alfaxad/mafia-gemma-4-12B-it,revac,9902,mafia,Emery,Mafia,mafia,modal_transformers,True,,,1,1,0,0,0
